artist,title,sanitized_title,title_signature,top_position,first_week
IVO ROBIC,MORGEN,MORGEN,"(6,)",23,1959-11-06
IVOR BIGGUN,THE WINKER'S SONG (MISPRINT),THE WINKERS SONG,"(3, 7, 4)",22,1978-09-10
IVY LEAGUE,FUNNY HOW LOVE CAN BE,FUNNY HOW LOVE CAN BE,"(5, 3, 4, 3, 2)",8,1965-02-04
IVY LEAGUE,THAT'S WHY I'M CRYING,THATS WHY IM CRYING,"(5, 3, 2, 6)",22,1965-05-06
IVY LEAGUE,TOSSING AND TURNING,TOSSING AND TURNING,"(7, 3, 7)",3,1965-07-01
IYAZ,REPLAY,REPLAY,"(6,)",1,2010-01-10
IYAZ,SO BIG,SO BIG,"(2, 3)",40,2010-09-19
IYAZ,SOLO,SOLO,"(4,)",3,2010-05-30
IZHAR COHEN AND ALPHABETA,A BI NA BI,A BI NA BI,"(1, 2, 2, 2)",20,1978-05-07
J BALVIN/WILLY WILLIAM,MI GENTE,MI GENTE,"(2, 5)",5,2017-08-04
J COLE,A M A R I,A M A R I,"(1, 1, 1, 1, 1)",16,2021-05-21
J COLE,ATM,ATM,"(3,)",28,2018-04-27
J COLE,DEJA VU,DEJA VU,"(4, 2)",30,2016-12-16
J COLE,I N T E R L U D E,I N T E R L U D E,"(1, 1, 1, 1, 1, 1, 1, 1, 1)",25,2021-05-14
J COLE,KOD,KOD,"(3,)",17,2018-04-27
J COLE,MIDDLE CHILD,MIDDLE CHILD,"(6, 5)",9,2019-02-01
J COLE,PHOTOGRAPH,PHOTOGRAPH,"(10,)",30,2018-04-27
J COLE & LIL BABY,P R I D E . I S . T H E . D E V I L,P R I D E  I S  T H E  D E V I L,"(1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1)",15,2021-05-21
J COLE/21 SAVAGE/MORRAY,M Y . L I F E,M Y  L I F E,"(1, 1, 0, 1, 1, 1, 1)",13,2021-05-21
J HOLIDAY,BED,BED,"(3,)",32,2007-12-09
J HUS,BOUFF DADDY,BOUFF DADDY,"(5, 5)",26,2018-01-05
J HUS,DID YOU SEE,DID YOU SEE,"(3, 3, 3)",9,2017-04-21
J HUS,MUST BE,MUST BE,"(4, 2)",5,2019-11-15
J HUS,NO DENYING,NO DENYING,"(2, 7)",33,2020-01-03
J HUS,SPIRIT,SPIRIT,"(6,)",36,2017-09-01
J HUS FT BURNA BOY,PLAY PLAY,PLAY PLAY,"(4, 4)",11,2020-01-31
J HUS FT ICEE TGM,BIG CONSPIRACY,BIG CONSPIRACY,"(3, 10)",19,2020-01-31
J HUS FT KOFFEE,REPEAT,REPEAT,"(6,)",21,2020-01-31
J MAJIK & WICKAMAN,CRAZY WORLD,CRAZY WORLD,"(5, 5)",37,2008-08-24
J MAJIK FT KATHY BROWN,LOVE IS NOT A GAME,LOVE IS NOT A GAME,"(4, 2, 3, 1, 4)",34,2001-04-29
J MELLENCAMP & M NDEGEOCELLO,WILD NIGHT,WILD NIGHT,"(4, 5)",34,1994-08-28
J NEVINS/UKNY FT HOLLY JAMES,I'M IN HEAVEN,IM IN HEAVEN,"(2, 2, 6)",9,2003-08-10
J-KWON,TIPSY,TIPSY,"(5,)",4,2004-07-18
J. TRAVOLTA & O. NEWTON-JOHN,YOU'RE THE ONE THAT I WANT,YOURE THE ONE THAT I WANT,"(5, 3, 3, 4, 1, 4)",4,1998-07-19
J.A.L.N. BAND,DISCO MUSIC-I LIKE IT,DISCO MUSICI LIKE IT,"(5, 6, 4, 2)",21,1976-09-19
J.A.L.N. BAND,I GOT TO SING,I GOT TO SING,"(1, 3, 2, 4)",40,1977-09-04
J.J. BARRIE,NO CHARGE,NO CHARGE,"(2, 6)",1,1976-04-25
JA RULE,CLAP BACK/REIGNS,CLAP BACKREIGNS,"(4, 10)",9,2003-11-30
JA RULE FT ASHANTI,ALWAYS ON TIME,ALWAYS ON TIME,"(6, 2, 4)",6,2002-01-27
JA RULE FT ASHANTI,MESMERIZE,MESMERIZE,"(9,)",12,2003-03-23
JA RULE FT BOBBY BROWN,THUG LOVIN',THUG LOVIN,"(4, 5)",15,2002-12-15
JA RULE FT CASE,LIVIN' IT UP,LIVIN IT UP,"(5, 2, 2)",5,2001-11-04
JA RULE FT CHRISTINA MILIAN,BETWEEN ME AND YOU,BETWEEN ME AND YOU,"(7, 2, 3, 3)",26,2001-02-25
JA RULE FT LLOYD,CAUGHT UP,CAUGHT UP,"(6, 2)",20,2005-04-24
JA RULE FT R KELLY & ASHANTI,WONDERFUL,WONDERFUL,"(9,)",1,2004-10-31
JACK 'N' CHILL,THE JACK THAT HOUSE BUILT {1988},THE JACK THAT HOUSE BUILT,"(3, 4, 4, 5, 5)",6,1988-01-17
JACK HARLOW,WHATS POPPIN,WHATS POPPIN,"(5, 6)",25,2020-07-10
JACK JOHNSON,BETTER TOGETHER,BETTER TOGETHER,"(6, 8)",24,2006-03-05
JACK JOHNSON,UPSIDE DOWN,UPSIDE DOWN,"(6, 4)",30,2006-05-28
JACK PENATE,BE THE ONE,BE THE ONE,"(2, 3, 3)",35,2009-06-21
JACK PENATE,SECOND MINUTE OR HOUR,SECOND MINUTE OR HOUR,"(6, 6, 2, 4)",17,2007-09-30
JACK PENATE,TONIGHT'S TODAY,TONIGHTS TODAY,"(8, 5)",23,2009-04-05
JACK PENATE,TORN ON THE PLATFORM,TORN ON THE PLATFORM,"(4, 2, 3, 8)",7,2007-06-24
JACK SCOTT,BURNING BRIDGES,BURNING BRIDGES,"(7, 7)",32,1960-06-02
JACK SCOTT,MY TRUE LOVE,MY TRUE LOVE,"(2, 4, 4)",9,1958-10-10
JACK SCOTT,THE WAY I WALK,THE WAY I WALK,"(3, 3, 1, 4)",30,1959-09-25
JACK SCOTT,WHAT IN THE WORLD'S COME OVER YOU,WHAT IN THE WORLDS COME OVER YOU,"(4, 2, 3, 6, 4, 4, 3)",11,1960-03-10
JACKIE DENNIS,LA DEE DAH,LA DEE DAH,"(2, 3, 3)",4,1958-03-14
JACKIE DENNIS,THE PURPLE PEOPLE EATER,THE PURPLE PEOPLE EATER,"(3, 6, 6, 5)",29,1958-06-27
JACKIE LEE,RUPERT,RUPERT,"(6,)",14,1971-01-03
JACKIE TRENT,I'LL BE THERE,ILL BE THERE,"(3, 2, 5)",38,1969-04-09
JACKIE TRENT,WHEN THE SUMMERTIME IS OVER,WHEN THE SUMMERTIME IS OVER,"(4, 3, 10, 2, 4)",39,1965-07-01
JACKIE TRENT,WHERE ARE YOU NOW (MY LOVE),WHERE ARE YOU NOW,"(5, 3, 3, 3)",1,1965-04-22
JACKIE WILSON,(YOUR LOVE KEEPS LIFTING ME) HIGHER AND HIGHER,HIGHER AND HIGHER,"(6, 3, 6)",11,1969-05-14
JACKIE WILSON,(YOUR LOVE KEEPS LIFTING ME) HIGHER AND HIGHER {1987},HIGHER AND HIGHER,"(6, 3, 6)",15,1987-06-28
JACKIE WILSON,ALL MY LOVE,ALL MY LOVE,"(3, 2, 4)",33,1960-10-13
JACKIE WILSON,I GET THE SWEETEST FEELING,I GET THE SWEETEST FEELING,"(1, 3, 3, 8, 7)",9,1972-07-30
JACKIE WILSON,I GET THE SWEETEST FEELING {1975},I GET THE SWEETEST FEELING,"(1, 3, 3, 8, 7)",25,1975-05-04
JACKIE WILSON,I GET THE SWEETEST FEELING {1987},I GET THE SWEETEST FEELING,"(1, 3, 3, 8, 7)",3,1987-02-22
JACKIE WILSON,REET PETITE (THE SWEETEST GIRL IN TOWN),REET PETITE,"(4, 6)",6,1957-11-15
JACKIE WILSON,REET PETITE {1986},REET PETITE,"(4, 6)",1,1986-11-30
JACKIE WILSON,TO BE LOVED,TO BE LOVED,"(2, 2, 5)",23,1958-03-14
JACKMAN/SETTLE/EFRON/ZENDAYA,THE GREATEST SHOW,THE GREATEST SHOW,"(3, 8, 4)",20,2018-01-05
JACKSON 5,WHO'S LOVIN' YOU,WHOS LOVIN YOU,"(4, 5, 3)",36,2009-07-12
JACKSON BROWNE,STAY,STAY,"(4,)",12,1978-07-09
JACKSONS WITH MICK JAGGER,STATE OF SHOCK,STATE OF SHOCK,"(5, 2, 5)",14,1984-07-01
JACKY,WHITE HORSES,WHITE HORSES,"(5, 6)",10,1968-04-17
JACQUELINE BOYER,TOM PILLIBI,TOM PILLIBI,"(3, 7)",33,1960-04-28
JADE,DON'T WALK AWAY,DONT WALK AWAY,"(4, 4, 4)",7,1993-03-14
JADE,EVERY DAY OF THE WEEK,EVERY DAY OF THE WEEK,"(5, 3, 2, 3, 4)",19,1995-02-05
JADE,I WANNA LOVE YOU,I WANNA LOVE YOU,"(1, 5, 4, 3)",13,1993-06-27
JADE,ONE WOMAN,ONE WOMAN,"(3, 5)",22,1993-09-12
JADE EWEN,IT'S MY TIME,ITS MY TIME,"(3, 2, 4)",27,2009-05-24
JADE EWEN,MY MAN,MY MAN,"(2, 3)",35,2009-09-27
JAGGED EDGE,WALKED OUTTA HEAVEN,WALKED OUTTA HEAVEN,"(6, 5, 6)",21,2004-02-15
JAGGED EDGE,WHERE THE PARTY AT,WHERE THE PARTY AT,"(5, 3, 5, 2)",25,2001-10-21
JAGS,BACK OF MY HAND,BACK OF MY HAND,"(4, 2, 2, 4)",17,1979-09-16
JAH WOBBLE'S INVADERS OF HEART,BECOMING MORE LIKE GOD,BECOMING MORE LIKE GOD,"(8, 4, 4, 3)",36,1994-04-24
JAH WOBBLE'S INVADERS OF THE HEART,VISIONS OF YOU,VISIONS OF YOU,"(7, 2, 3)",35,1992-02-02
JAHEIM,COULD IT BE,COULD IT BE,"(5, 2, 2)",33,2001-03-18
JAHEIM,JUST IN CASE,JUST IN CASE,"(4, 2, 4)",34,2001-08-05
JAIMESON,COMPLETE,COMPLETE,"(8,)",4,2003-08-17
JAIMESON FT ANGEL BLU,TRUE,TRUE,"(4,)",4,2003-01-19
JAIMESON FT ANGEL BLUE AND CK,TAKE CONTROL,TAKE CONTROL,"(4, 7)",16,2004-02-01
JAKATTA,AMERICAN DREAM,AMERICAN DREAM,"(8, 5)",3,2001-02-18
JAKATTA,ONE FINE DAY,ONE FINE DAY,"(3, 4, 3)",39,2003-02-23
JAKATTA,SO LONELY,SO LONELY,"(2, 6)",8,2002-02-10
JAKATTA FT SEAL,MY VISION,MY VISION,"(2, 6)",6,2002-10-06
JAKE BUGG,LIGHTNING BOLT,LIGHTNING BOLT,"(9, 4)",26,2013-01-13
JAKE BUGG,TWO FINGERS,TWO FINGERS,"(3, 7)",28,2012-10-21
JAKI GRAHAM,BREAKING AWAY,BREAKING AWAY,"(8, 4)",16,1986-08-03
JAKI GRAHAM,ROUND AND AROUND,ROUND AND AROUND,"(5, 3, 6)",9,1985-06-30
JAKI GRAHAM,SET ME FREE,SET ME FREE,"(3, 2, 4)",7,1986-05-11
JAKI GRAHAM,STEP RIGHT UP,STEP RIGHT UP,"(4, 5, 2)",15,1986-11-23
JAKWOB FT MAIDAY,FADE,FADE,"(4,)",35,2013-03-24
JAM,IN THE CITY,IN THE CITY,"(2, 3, 4)",36,2002-05-05
JAM,THE BITTEREST PILL (I EVER HAD TO ..),THE BITTEREST PILL,"(3, 9, 4)",30,1997-10-05
JAM & SPOON,RIGHT IN THE NIGHT,RIGHT IN THE NIGHT,"(5, 2, 3, 5)",31,1994-02-20
JAM & SPOON FEATURING PLAVKA,ANGEL (LADADI O-HEYO),ANGEL,"(5,)",26,1995-11-19
JAM & SPOON FEATURING PLAVKA,FIND ME (ODYSSEY TO ANYOONA),FIND ME,"(4, 2)",22,1994-09-18
JAM & SPOON FEATURING PLAVKA,RIGHT IN THE NIGHT (FALL IN LOVE WITH...,RIGHT IN THE NIGHT FALL IN LOVE WITH,"(5, 2, 3, 5, 4, 2, 4, 4)",10,1995-06-04
JAM & SPOON FT REA,BE ANGELED,BE ANGELED,"(2, 7)",31,2002-02-24
JAM TRONIK,ANOTHER DAY IN PARADISE,ANOTHER DAY IN PARADISE,"(7, 3, 2, 8)",19,1990-03-18
JAMELIA,BEWARE OF THE DOG,BEWARE OF THE DOG,"(6, 2, 3, 3)",10,2006-12-03
JAMELIA,CALL ME,CALL ME,"(4, 2)",11,2000-06-18
JAMELIA,DJ/STOP,DJSTOP,"(6,)",9,2004-11-07
JAMELIA,I DO,I DO,"(1, 2)",36,1999-07-25
JAMELIA,MONEY,MONEY,"(5,)",5,2000-02-27
JAMELIA,SEE IT IN A BOY'S EYES,SEE IT IN A BOYS EYES,"(3, 2, 2, 1, 4, 4)",5,2004-07-18
JAMELIA,SOMETHING ABOUT YOU,SOMETHING ABOUT YOU,"(9, 5, 3)",9,2006-09-10
JAMELIA,SUPERSTAR,SUPERSTAR,"(9,)",3,2003-09-21
JAMELIA,THANK YOU,THANK YOU,"(5, 3)",2,2004-02-29
JAMELIA FT RAH DIGGA,BOUT,BOUT,"(4,)",37,2003-06-15
JAMES,BORN OF FRUSTRATION,BORN OF FRUSTRATION,"(4, 2, 11)",13,1992-01-26
JAMES,COME HOME {1990},COME HOME,"(4, 4)",32,1990-07-01
JAMES,DESTINY CALLING,DESTINY CALLING,"(7, 7)",17,1998-03-15
JAMES,GETTING AWAY WITH IT (ALL MESSED UP),GETTING AWAY WITH IT,"(7, 4, 4, 2)",22,2001-07-01
JAMES,HOW WAS IT FOR YOU,HOW WAS IT FOR YOU,"(3, 3, 2, 3, 3)",32,1990-05-06
JAMES,I KNOW WHAT I'M HERE FOR,I KNOW WHAT IM HERE FOR,"(1, 4, 4, 2, 4, 3)",22,1999-07-25
JAMES,JAM J,JAM J,"(3, 1)",24,1994-03-27
JAMES,JUST LIKE FRED ASTAIRE,JUST LIKE FRED ASTAIRE,"(4, 4, 4, 7)",17,1999-10-10
JAMES,LAID,LAID,"(4,)",25,1993-11-07
JAMES,LOSE CONTROL,LOSE CONTROL,"(4, 7)",38,1990-12-02
JAMES,RING THE BELLS,RING THE BELLS,"(4, 3, 5)",37,1992-03-29
JAMES,RUNAGROUND,RUNAGROUND,"(10,)",29,1998-05-31
JAMES,SHE'S A STAR,SHES A STAR,"(4, 1, 4)",9,1997-02-16
JAMES,SIT DOWN,SIT DOWN,"(3, 4)",7,1998-11-15
JAMES,SIT DOWN {1991},SIT DOWN,"(3, 4)",2,1991-03-24
JAMES,SOMETIMES,SOMETIMES,"(9,)",18,1993-09-05
JAMES,SOUND,SOUND,"(5,)",9,1991-11-24
JAMES,TOMORROW,TOMORROW,"(8,)",12,1997-04-27
JAMES,WALTZING ALONG,WALTZING ALONG,"(8, 5)",23,1997-06-29
JAMES AND BOBBY PURIFY,I'M YOUR PUPPET,IM YOUR PUPPET,"(2, 4, 6)",12,1976-04-25
JAMES AND BOBBY PURIFY,MORNING GLORY,MORNING GLORY,"(7, 5)",27,1976-08-08
JAMES ARTHUR,EMPTY SPACE,EMPTY SPACE,"(5, 5)",22,2018-11-09
JAMES ARTHUR,FALLING LIKE THE STARS,FALLING LIKE THE STARS,"(7, 4, 3, 5)",25,2019-05-17
JAMES ARTHUR,IMPOSSIBLE,IMPOSSIBLE,"(10,)",1,2012-12-16
JAMES ARTHUR,NAKED,NAKED,"(5,)",11,2017-12-01
JAMES ARTHUR,RECOVERY,RECOVERY,"(8,)",19,2013-12-08
JAMES ARTHUR,SAFE INSIDE,SAFE INSIDE,"(4, 6)",31,2017-02-10
JAMES ARTHUR,SAY YOU WON'T LET GO,SAY YOU WONT LET GO,"(3, 3, 4, 3, 2)",1,2016-09-16
JAMES ARTHUR,TRAIN WRECK,TRAIN WRECK,"(5, 5)",16,2020-10-30
JAMES ARTHUR,YOU'RE NOBODY 'TIL SOMEBODY LOVES YOU,YOURE NOBODY TIL SOMEBODY LOVES YOU,"(5, 6, 3, 8, 5, 3)",2,2013-10-27
JAMES ARTHUR & ANNE-MARIE,REWRITE THE STARS,REWRITE THE STARS,"(7, 3, 5)",7,2018-11-23
JAMES BAY,HOLD BACK THE RIVER,HOLD BACK THE RIVER,"(4, 4, 3, 5)",2,2014-11-30
JAMES BAY,LET IT GO,LET IT GO,"(3, 2, 2)",10,2015-06-28
JAMES BAY,WILD LOVE,WILD LOVE,"(4, 4)",39,2018-02-16
JAMES BLAKE,LIMIT TO YOUR LOVE,LIMIT TO YOUR LOVE,"(5, 2, 4, 4)",39,2011-01-09
JAMES BLUNT,1973,1973,"(4,)",4,2007-09-02
JAMES BLUNT,BONFIRE HEART,BONFIRE HEART,"(7, 5)",4,2013-10-13
JAMES BLUNT,CARRY YOU HOME,CARRY YOU HOME,"(5, 3, 4)",20,2008-03-30
JAMES BLUNT,GOODBYE MY LOVER,GOODBYE MY LOVER,"(7, 2, 5)",9,2005-12-25
JAMES BLUNT,HIGH,HIGH,"(4,)",16,2005-10-09
JAMES BLUNT,STAY THE NIGHT,STAY THE NIGHT,"(4, 3, 5)",26,2010-10-31
JAMES BLUNT,WISEMEN,WISEMEN,"(7,)",23,2006-03-19
JAMES BLUNT,YOU'RE BEAUTIFUL,YOURE BEAUTIFUL,"(5, 9)",1,2005-06-05
JAMES BOYS,OVER AND OVER,OVER AND OVER,"(4, 3, 4)",39,1973-05-20
JAMES BROWN,BODYHEAT,BODYHEAT,"(8,)",36,1977-01-30
JAMES BROWN,FUNK ON AH ROLL,FUNK ON AH ROLL,"(4, 2, 2, 4)",40,1999-04-11
JAMES BROWN,GET UP I FEEL LIKE BEING A SEX MACHINE,GET UP I FEEL LIKE BEING A SEX MACHINE,"(3, 2, 1, 4, 4, 5, 1, 3, 7)",32,1970-10-25
JAMES BROWN,GET UP OFFA THAT THING,GET UP OFFA THAT THING,"(3, 2, 4, 4, 5)",22,1976-09-19
JAMES BROWN,I GOT YOU,I GOT YOU,"(1, 3, 3)",29,1966-03-10
JAMES BROWN,I'M REAL,IM REAL,"(2, 4)",31,1988-05-29
JAMES BROWN,IT'S A MAN'S MAN'S MAN'S WORLD,ITS A MANS MANS MANS WORLD,"(3, 1, 4, 4, 4, 5)",13,1966-06-16
JAMES BROWN,LIVING IN AMERICA,LIVING IN AMERICA,"(6, 2, 7)",5,1986-01-19
JAMES BROWN,PAPA'S GOT A BRAND NEW BAG,PAPAS GOT A BRAND NEW BAG,"(5, 3, 1, 5, 3, 3)",25,1965-09-30
JAMES BROWN,RAPP PAYBACK (WHERE IZ MOSES?),RAPP PAYBACK,"(4, 7)",39,1981-01-11
JAMES BROWN,THE PAYBACK MIX (PART ONE),THE PAYBACK MIX,"(3, 7, 3)",12,1988-04-17
JAMES DARREN,BECAUSE THEY'RE YOUNG,BECAUSE THEYRE YOUNG,"(7, 6, 5)",29,1960-08-11
JAMES DARREN,CONSCIENCE,CONSCIENCE,"(10,)",30,1962-06-28
JAMES DARREN,GOODBYE CRUEL WORLD,GOODBYE CRUEL WORLD,"(7, 5, 5)",28,1961-12-28
JAMES DARREN,HER ROYAL MAJESTY,HER ROYAL MAJESTY,"(3, 5, 7)",36,1962-04-05
JAMES DEAN BRADFIELD,AN ENGLISH GENTLEMAN,AN ENGLISH GENTLEMAN,"(2, 7, 9)",31,2006-10-01
JAMES DEAN BRADFIELD,THAT'S NO WAY TO TELL A LIE,THATS NO WAY TO TELL A LIE,"(5, 2, 3, 2, 4, 1, 3)",18,2006-07-16
JAMES FOX,HOLD ON TO OUR LOVE,HOLD ON TO OUR LOVE,"(4, 2, 2, 3, 4)",13,2004-04-25
JAMES FOX & CARDIFF CITY FC,BLUEBIRDS FLYING HIGH,BLUEBIRDS FLYING HIGH,"(9, 6, 4)",15,2008-05-11
JAMES GALWAY,ANNIE'S SONG,ANNIES SONG,"(6, 4)",3,1978-05-28
JAMES GILREATH,LITTLE BAND OF GOLD,LITTLE BAND OF GOLD,"(6, 4, 2, 4)",29,1963-05-09
JAMES HYPE FT KELLI-LEIGH,MORE THAN FRIENDS,MORE THAN FRIENDS,"(4, 4, 7)",8,2017-08-18
JAMES INGRAM AND MICHAEL MCDONALD,YAH MO BE THERE {1985},YAH MO BE THERE,"(3, 2, 2, 5)",12,1985-01-13
JAMES MORRISON,BROKEN STRINGS,BROKEN STRINGS,"(6, 7)",2,2008-12-07
JAMES MORRISON,I WON'T LET YOU GO,I WONT LET YOU GO,"(1, 4, 3, 3, 2)",5,2011-09-25
JAMES MORRISON,PLEASE DON'T STOP THE RAIN,PLEASE DONT STOP THE RAIN,"(6, 4, 4, 3, 4)",33,2009-04-12
JAMES MORRISON,THE PIECES DON'T FIT ANYMORE,THE PIECES DONT FIT ANYMORE,"(3, 6, 4, 3, 7)",30,2006-12-24
JAMES MORRISON,WONDERFUL WORLD,WONDERFUL WORLD,"(9, 5)",8,2006-10-15
JAMES MORRISON,YOU GIVE ME SOMETHING,YOU GIVE ME SOMETHING,"(3, 4, 2, 9)",5,2006-07-16
JAMES MORRISON,YOU MAKE IT REAL,YOU MAKE IT REAL,"(3, 4, 2, 4)",7,2008-09-28
JAMES MORRISON FT JESSIE J,UP,UP,"(2,)",30,2012-01-01
JAMES NEWTON HOWARD/LAWRENCE,THE HANGING TREE,THE HANGING TREE,"(3, 7, 4)",14,2014-11-30
JAMES TAYLOR,YOU'VE GOT A FRIEND,YOUVE GOT A FRIEND,"(5, 3, 1, 6)",4,1971-08-22
JAMES VINCENT MCMORROW,HIGHER LOVE,HIGHER LOVE,"(6, 4)",21,2012-01-08
JAMES/KEENAN WYNN/DAVIES/IMRIE,WHEN I KISSED THE TEACHER,WHEN I KISSED THE TEACHER,"(4, 1, 6, 3, 7)",40,2018-08-17
JAMESY P,NOOKIE,NOOKIE,"(6,)",14,2005-09-18
JAMIE CULLUM,EVERLASTING LOVE,EVERLASTING LOVE,"(11, 4)",20,2004-11-14
JAMIE CULLUM,MIND TRICK,MIND TRICK,"(4, 5)",32,2005-12-04
JAMIE CULLUM,THESE ARE THE DAYS/FRONTIN',THESE ARE THE DAYSFRONTIN,"(5, 3, 3, 11)",12,2004-03-14
JAMIE FOXX FT LUDACRIS,UNPREDICTABLE,UNPREDICTABLE,"(13,)",16,2006-04-16
JAMIE J. MORGAN,WALK ON THE WILD SIDE,WALK ON THE WILD SIDE,"(4, 2, 3, 4, 4)",27,1990-02-18
JAMIE LAWSON,WASN'T EXPECTING THAT,WASNT EXPECTING THAT,"(5, 9, 4)",6,2015-10-09
JAMIE SCOTT,JUST,JUST,"(4,)",29,2004-08-29
JAMIE SCOTT,SEARCHING,SEARCHING,"(9,)",33,2005-01-16
JAMIE T,CALM DOWN DEAREST,CALM DOWN DEAREST,"(4, 4, 7)",9,2007-01-14
JAMIE T,CHAKA DEMUS EP,CHAKA DEMUS EP,"(5, 5, 2)",23,2009-09-06
JAMIE T,IF YOU GOT THE MONEY,IF YOU GOT THE MONEY,"(2, 3, 3, 3, 5)",13,2006-10-22
JAMIE T,SHEILA,SHEILA,"(6,)",15,2006-07-09
JAMIE T,STICKS 'N' STONES,STICKS N STONES,"(6, 1, 6)",15,2009-07-05
JAMIE T,ZOMBIE,ZOMBIE,"(6,)",36,2014-10-05
JAMIROQUAI,(DON'T) GIVE HATE A CHANCE,GIVE HATE A CHANCE,"(4, 4, 1, 6)",27,2005-11-13
JAMIROQUAI,ALRIGHT,ALRIGHT,"(7,)",6,1997-05-04
JAMIROQUAI,BLOW YOUR MIND,BLOW YOUR MIND,"(4, 4, 4)",12,1993-05-30
JAMIROQUAI,CANNED HEAT,CANNED HEAT,"(6, 4)",4,1999-05-30
JAMIROQUAI,CORNER OF THE EARTH,CORNER OF THE EARTH,"(6, 2, 3, 5)",31,2002-07-14
JAMIROQUAI,COSMIC GIRL,COSMIC GIRL,"(6, 4)",6,1996-12-01
JAMIROQUAI,DEEPER UNDERGROUND,DEEPER UNDERGROUND,"(6, 11)",1,1998-07-19
JAMIROQUAI,EMERGENCY ON PLANET EARTH,EMERGENCY ON PLANET EARTH,"(9, 2, 6, 5)",32,1993-08-08
JAMIROQUAI,FEELS JUST LIKE IT SHOULD,FEELS JUST LIKE IT SHOULD,"(5, 4, 4, 2, 6)",8,2005-06-12
JAMIROQUAI,HALF THE MAN,HALF THE MAN,"(4, 3, 3)",15,1994-11-13
JAMIROQUAI,HIGH TIMES,HIGH TIMES,"(4, 5)",20,1997-12-07
JAMIROQUAI,KING FOR A DAY,KING FOR A DAY,"(4, 3, 1, 3)",20,1999-12-05
JAMIROQUAI,LITTLE L,LITTLE L,"(6, 1)",5,2001-08-19
JAMIROQUAI,LOVE FOOLOSOPHY,LOVE FOOLOSOPHY,"(4, 10)",14,2002-03-03
JAMIROQUAI,RUNAWAY,RUNAWAY,"(7,)",18,2006-11-05
JAMIROQUAI,SEVEN DAYS IN SUNNY JUNE,SEVEN DAYS IN SUNNY JUNE,"(5, 4, 2, 5, 4)",14,2005-08-21
JAMIROQUAI,SPACE COWBOY,SPACE COWBOY,"(5, 6)",17,1994-10-02
JAMIROQUAI,STILLNESS IN TIME,STILLNESS IN TIME,"(9, 2, 4)",9,1995-06-25
JAMIROQUAI,SUPERSONIC,SUPERSONIC,"(10,)",22,1999-09-19
JAMIROQUAI,TOO YOUNG TO DIE,TOO YOUNG TO DIE,"(3, 5, 2, 3)",10,1993-03-07
JAMIROQUAI,VIRTUAL INSANITY,VIRTUAL INSANITY,"(7, 8)",3,1996-08-25
JAMIROQUAI,WHEN YOU GONNA LEARN {1993 RE-RELEASE},WHEN YOU GONNA LEARN,"(4, 3, 5, 5)",28,1993-09-19
JAMIROQUAI,WHITE KNUCKLE RIDE,WHITE KNUCKLE RIDE,"(5, 7, 4)",39,2010-11-07
JAMIROQUAI,YOU GIVE ME SOMETHING,YOU GIVE ME SOMETHING,"(3, 4, 2, 9)",16,2001-11-25
JAMX & DELEON,CAN U DIG IT,CAN U DIG IT,"(3, 1, 3, 2)",40,2002-09-01
JAN AND DEAN,HEART AND SOUL,HEART AND SOUL,"(5, 3, 4)",24,1961-09-07
JAN AND DEAN,SURF CITY,SURF CITY,"(4, 4)",26,1963-08-15
JAN AND KJELD,BANJO BOY,BANJO BOY,"(5, 3)",36,1960-07-21
JAN HAMMER,CROCKETT'S THEME,CROCKETTS THEME,"(9, 5)",2,1987-09-13
JAN HAMMER,MIAMI VICE THEME,MIAMI VICE THEME,"(5, 4, 5)",5,1985-10-06
JAN JOHNSTON,FLESH,FLESH,"(5,)",36,2001-04-15
JAN WAYNE,BECAUSE THE NIGHT,BECAUSE THE NIGHT,"(7, 3, 5)",14,2002-11-03
JAN WAYNE,TOTAL ECLIPSE OF THE HEART,TOTAL ECLIPSE OF THE HEART,"(5, 7, 2, 3, 5)",28,2003-03-23
JANE BIRKIN AND SERGE GAINSBOURG,JE T'AIME... MOI NON PLUS,JE TAIME MOI NON PLUS,"(2, 5, 3, 3, 4)",2,1969-08-10
JANE BIRKIN AND SERGE GAINSBOURG,JE T'AIME... MOI NON PLUS {1974},JE TAIME MOI NON PLUS,"(2, 5, 3, 3, 4)",31,1974-12-08
JANE BIRKIN AND SERGE GAINSBOURG,JE T'AIME... MOI NON PLUS {OFFICIAL RELEASE},JE TAIME MOI NON PLUS,"(2, 5, 3, 3, 4)",1,1969-09-28
JANE CHILD,DON'T WANNA FALL IN LOVE,DONT WANNA FALL IN LOVE,"(4, 5, 4, 2, 4)",22,1990-05-20
JANE FROMAN,I WONDER,I WONDER,"(1, 6)",14,1955-06-17
JANE MCDONALD,CRUISE INTO CHRISTMAS,CRUISE INTO CHRISTMAS,"(6, 4, 9)",10,1998-12-20
JANE MORGAN,IF ONLY I COULD LIVE MY LIFE AGAIN,IF ONLY I COULD LIVE MY LIFE AGAIN,"(2, 4, 1, 5, 4, 2, 4, 5)",27,1959-05-22
JANE MORGAN,ROMANTICA,ROMANTICA,"(9,)",39,1960-07-21
JANE MORGAN,THE DAY THE RAINS CAME,THE DAY THE RAINS CAME,"(3, 3, 3, 5, 4)",1,1958-12-05
